Exchange Date,Close,Net,%Chg,Open,Low,High,Volume
15-Nov-2019,"8,315.523",+57.692,+0.699%,"8,303.842","8,284.205","8,315.901","184,104,773"
18-Nov-2019,"8,328.479",+12.956,+0.156%,"8,303.220","8,274.682","8,340.408","151,112,212"
19-Nov-2019,"8,338.737",+10.258,+0.123%,"8,357.432","8,308.275","8,357.796","155,128,081"
20-Nov-2019,"8,283.753",-54.984,-0.659%,"8,315.547","8,226.252","8,339.264","271,478,996"
21-Nov-2019,"8,265.618",-18.135,-0.219%,"8,273.949","8,242.221","8,282.328","145,458,867"
22-Nov-2019,"8,272.053",+6.435,+0.078%,"8,287.249","8,229.491","8,292.112","126,470,531"
25-Nov-2019,"8,371.928",+99.875,+1.207%,"8,309.546","8,309.546","8,372.822","154,321,255"
26-Nov-2019,"8,385.745",+13.817,+0.165%,"8,374.256","8,364.115","8,398.038","233,828,893"
27-Nov-2019,"8,444.709",+58.964,+0.703%,"8,407.235","8,399.626","8,445.605","114,022,832"
29-Nov-2019,"8,403.685",-41.024,-0.486%,"8,422.020","8,402.133","8,435.960","80,468,069"
02-Dec-2019,"8,309.260",-94.425,-1.124%,"8,409.867","8,274.606","8,409.867","144,805,526"
03-Dec-2019,"8,254.737",-54.523,-0.656%,"8,201.626","8,167.355","8,258.405","162,288,307"
04-Dec-2019,"8,296.529",+41.792,+0.506%,"8,291.858","8,285.875","8,316.455","137,571,364"
05-Dec-2019,"8,308.397",+11.868,+0.143%,"8,321.187","8,272.833","8,321.187","125,930,589"
06-Dec-2019,"8,397.367",+88.970,+1.071%,"8,370.231","8,365.247","8,405.850","127,303,398"
09-Dec-2019,"8,362.744",-34.623,-0.412%,"8,388.745","8,359.868","8,425.770","134,364,043"
10-Dec-2019,"8,354.292",-8.452,-0.101%,"8,364.548","8,339.367","8,392.889","130,547,637"
11-Dec-2019,"8,402.609",+48.317,+0.578%,"8,371.647","8,361.366","8,408.080","131,864,676"
12-Dec-2019,"8,466.894",+64.285,+0.765%,"8,391.915","8,380.094","8,493.110","189,663,615"
13-Dec-2019,"8,487.708",+20.814,+0.246%,"8,461.417","8,441.885","8,517.516","168,745,551"
16-Dec-2019,"8,570.334",+82.626,+0.973%,"8,544.265","8,542.416","8,584.782","178,127,104"
17-Dec-2019,"8,575.700",+5.366,+0.063%,"8,586.335","8,564.146","8,592.453","155,214,264"
18-Dec-2019,"8,580.624",+4.924,+0.057%,"8,587.202","8,578.556","8,608.098","165,629,763"
19-Dec-2019,"8,641.291",+60.667,+0.707%,"8,592.680","8,592.680","8,642.740","166,603,637"
20-Dec-2019,"8,678.491",+37.200,+0.430%,"8,666.571","8,656.479","8,687.663","465,713,351"
23-Dec-2019,"8,696.007",+17.516,+0.202%,"8,703.060","8,690.145","8,710.897","130,525,875"
24-Dec-2019,"8,699.506",+3.499,+0.040%,"8,705.304","8,684.116","8,708.225","50,474,755"
26-Dec-2019,"8,778.314",+78.808,+0.906%,"8,717.952","8,716.029","8,778.334","92,589,926"
27-Dec-2019,"8,770.979",-7.335,-0.084%,"8,805.858","8,749.858","8,811.097","101,442,052"
30-Dec-2019,"8,709.727",-61.252,-0.698%,"8,766.393","8,671.924","8,768.295","103,886,982"
31-Dec-2019,"8,733.073",+23.346,+0.268%,"8,681.334","8,674.383","8,735.431","112,896,493"
02-Jan-2020,"8,872.219",+139.146,+1.593%,"8,802.217","8,786.898","8,873.633","152,648,354"
03-Jan-2020,"8,793.904",-78.315,-0.883%,"8,755.166","8,755.166","8,843.649","144,749,190"
06-Jan-2020,"8,848.515",+54.611,+0.621%,"8,713.889","8,713.889","8,849.976","142,383,101"
07-Jan-2020,"8,846.449",-2.066,-0.023%,"8,857.138","8,821.682","8,872.469","151,390,576"
08-Jan-2020,"8,912.370",+65.921,+0.745%,"8,845.449","8,834.936","8,953.552","164,567,389"
09-Jan-2020,"8,989.630",+77.260,+0.867%,"8,990.041","8,938.528","9,004.553","150,734,311"
10-Jan-2020,"8,966.636",-22.994,-0.256%,"9,021.882","8,951.827","9,024.869","134,198,783"
13-Jan-2020,"9,070.646",+104.010,+1.160%,"9,007.938","8,991.354","9,071.529","140,335,523"
